brand,product,category,character,type,time,duration,location,visibility,hasLogo,quote,actor,gender,age,ethnicity,notes,screenshotURL,videoURL,video2URL,realTime
Apple,monitor,device,Tony Stark - Iron Man,sighting,0:07:15,0:00:21,workshop,obvious,Yes,,Robert Downey Jr.,male,43,white,,,,,
Disney,Venue,establishement,TV Reporter,mention,0:07:32,0:00:04,garage workplace,subtle,no,"""Tonight's red hot red carpet is right here at the Disney concert hall"" ",-,female,-,white,,,,,
LG,tv,device,Tony Stark - Iron Man,sighting,0:07:35,0:00:01,workshop,background,Yes,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:07:37,0:00:02,workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Apple,monitor,device,Tony Stark - Iron Man,sighting,0:07:39,0:00:02,workshop,discreet,no,,Robert Downey Jr.,male,43,white,,,,,
LG,tv,device,Tony Stark - Iron Man,sighting,0:07:39,0:00:02,workshop,subtle,Yes,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:07:41,0:00:02,workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Apple,monitor,device,Tony Stark - Iron Man,sighting,0:07:39,0:00:02,workshop,subtle,no,,Robert Downey Jr.,male,43,white,,,,,
LG,tv,device,Tony Stark - Iron Man,sighting,0:07:39,0:00:02,workshop,subtle,no,,Robert Downey Jr.,male,43,white,,,,,
Perrier,water bottle,food & drink,tony Stark - Iron Man,sighting,0:07:39,0:00:02,formal event,background,yes,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:07:46,0:00:04,workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
LG,tv,device,Tony Stark - Iron Man,sighting,0:07:50,0:00:02,workshop,discreet,no,,Robert Downey Jr.,male,43,white,,,,,
LG,tv,device,Tony Stark - Iron Man,sighting,0:07:56,0:00:02,workshop,close-up,yes,,Robert Downey Jr.,male,43,white,,,,,
Apple,monitor,device,Tony Stark - Iron Man,sighting,0:08:01,0:00:02,workshop,close-up,Yes,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:08:04,0:00:04,workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Ford,car,vehicle,Tony Stark - Iron Man,sighting,0:08:09,0:00:01,Garage workshop,obvious,no,,Robert Downey Jr.,male,43,white,,,,,
Audi,car,vehicle,Tony Stark - Iron Man,sighting,0:08:09,0:00:01,Garage workshop,background,yes,,Robert Downey Jr.,male,43,white,,,,,
Texaco,sign,establishement,Tony Stark - Iron Man,sighting,0:08:09,0:00:01,Garage workshop,background,yes,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:08:11,0:00:03,workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Apple,monitor,device,Tony Stark - Iron Man,sighting,0:08:14,0:00:01,workshop,subtle,Yes,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:08:18,0:00:04,workshop,close-up,Yes,,Robert Downey Jr.,male,43,white,,,,,
Apple,monitor,device,Tony Stark - Iron Man,sighting,0:08:22,0:00:04,workshop,obvious,Yes,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:08:22,0:00:04,workshop,background,Yes,,Robert Downey Jr.,male,43,white,,,,,
Bulgari,watch,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:08:27,0:00:01,garage workshop,close-up,Yes,,Robert Downey Jr.,Male,43,white,,,,,
Apple,monitor,device,Tony Stark - Iron Man,sighting,0:08:29,0:00:01,workshop,discreet,Yes,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:08:29,0:00:01,workshop,background,Yes,,Robert Downey Jr.,male,43,white,,,,,
Audi,Car,vehicle,tony Stark - Iron Man,sighting,0:08:30,0:00:05,highway,obvious,yes,,Robert Downey Jr.,male,43,white,,,,,
Audi,Car,vehicle,tony Stark - Iron Man,sighting,0:08:37,0:00:02,highway,obvious,yes,,Robert Downey Jr.,male,43,white,,,,,
Audi,Car,vehicle,tony Stark - Iron Man,sighting,0:08:41,0:00:09,curb,obvious,yes,,Robert Downey Jr.,male,43,white,,,,,
Disney,Venue,establishement,Tony Stark - Iron Man,sighting,0:08:52,0:00:01,venue,subtle,yes,,Robert Downey Jr.,male,43,white,"""Disney Concert Hall"" - written",,,,
MoՉt & Chandon,champagne,food & drink,tony Stark - Iron Man,sighting,0:09:39,0:00:04,formal event,discreet,yes,,Robert Downey Jr.,male,43,white,,,,,
