brand,product,category,character,type,time,duration,location,visibility,hasLogo,actor,gender,age,ethnicity,notes,screenshotURL,videoURL,video2URL,realTime
Caesars Palace,casino,establishement,Obadiah Stane - Iron Man,sighting,0:06:23,0:00:09,formal event,subtle,yes,Jeff Bridges,male,59,white,,,,,0:06:23
Robert Marc,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:06:41,0:00:09,casino,subtle,no,Robert Downey Jr.,male,43,white,"Robert Marc 719, selectspecs.com/blog/sunglasses-from-marvels-iron-man-2-staring-robert-downey-jr/, celebrity-sunglasses-finder.com/robert-downey-jr-robert-marc-719/",,,,0:06:41
Robert Marc,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:07:03,0:00:03,casino,subtle,no,Robert Downey Jr.,male,43,white,"Robert Marc 719, selectspecs.com/blog/sunglasses-from-marvels-iron-man-2-staring-robert-downey-jr/, celebrity-sunglasses-finder.com/robert-downey-jr-robert-marc-719/",,,,0:07:03
Robert Marc,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:07:07,0:00:04,casino,subtle,no,Robert Downey Jr.,male,43,white,"Robert Marc 719, selectspecs.com/blog/sunglasses-from-marvels-iron-man-2-staring-robert-downey-jr/, celebrity-sunglasses-finder.com/robert-downey-jr-robert-marc-719/",,,,0:07:07
Robert Marc,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:07:13,0:00:08,casino,subtle,no,Robert Downey Jr.,male,43,white,"Robert Marc 719, selectspecs.com/blog/sunglasses-from-marvels-iron-man-2-staring-robert-downey-jr/, celebrity-sunglasses-finder.com/robert-downey-jr-robert-marc-719/",,,,0:07:13
Robert Marc,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:07:23,0:00:08,casino,subtle,no,Robert Downey Jr.,male,43,white,"Robert Marc 719, selectspecs.com/blog/sunglasses-from-marvels-iron-man-2-staring-robert-downey-jr/, celebrity-sunglasses-finder.com/robert-downey-jr-robert-marc-719/",,,,0:07:23
Rolls-Royce,car,vehicle,Tony Stark - Iron Man,sighting,0:07:39,0:00:01,casino,subtle,no,Robert Downey Jr.,male,43,white,,,,,0:07:39
Vanity Fair,magazine,entertainment,Christine Everhart - Iron Man,mention,0:07:43,0:00:04,casino,subtle,no,Leslie Bibb,female,34,white,,,,,0:07:43
Robert Marc,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:07:48,0:00:03,casino,subtle,no,Robert Downey Jr.,male,43,white,"Robert Marc 719, selectspecs.com/blog/sunglasses-from-marvels-iron-man-2-staring-robert-downey-jr/, celebrity-sunglasses-finder.com/robert-downey-jr-robert-marc-719/",,,,0:07:48
Robert Marc,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:07:55,0:00:01,casino,subtle,no,Robert Downey Jr.,male,43,white,"Robert Marc 719, selectspecs.com/blog/sunglasses-from-marvels-iron-man-2-staring-robert-downey-jr/, celebrity-sunglasses-finder.com/robert-downey-jr-robert-marc-719/",,,,0:07:55
Robert Marc,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:07:59,0:00:04,casino,subtle,no,Robert Downey Jr.,male,43,white,"Robert Marc 719, selectspecs.com/blog/sunglasses-from-marvels-iron-man-2-staring-robert-downey-jr/, celebrity-sunglasses-finder.com/robert-downey-jr-robert-marc-719/",,,,0:07:59
Berkeley,school,establishement,Tony Stark - Iron Man,mention,0:08:01,0:00:03,casino,-,-,Robert Downey Jr.,male,43,white,,,,,0:08:01
Brown,school,establishement,Christine Everhart - Iron Man,mention,0:08:04,0:00:01,casino,-,-,Leslie Bibb,female,34,white,,,,,0:08:04
Robert Marc,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:08:05,0:00:05,casino,subtle,no,Robert Downey Jr.,male,43,white,"Robert Marc 719, selectspecs.com/blog/sunglasses-from-marvels-iron-man-2-staring-robert-downey-jr/, celebrity-sunglasses-finder.com/robert-downey-jr-robert-marc-719/",,,,0:08:05
Robert Marc,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:08:13,0:00:02,casino,subtle,no,Robert Downey Jr.,male,43,white,"Robert Marc 719, selectspecs.com/blog/sunglasses-from-marvels-iron-man-2-staring-robert-downey-jr/, celebrity-sunglasses-finder.com/robert-downey-jr-robert-marc-719/",,,,0:08:13
Robert Marc,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:08:17,0:00:01,casino,subtle,no,Robert Downey Jr.,male,43,white,"Robert Marc 719, selectspecs.com/blog/sunglasses-from-marvels-iron-man-2-staring-robert-downey-jr/, celebrity-sunglasses-finder.com/robert-downey-jr-robert-marc-719/",,,,0:08:17
Robert Marc,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:08:19,0:00:01,casino,subtle,no,Robert Downey Jr.,male,43,white,"Robert Marc 719, selectspecs.com/blog/sunglasses-from-marvels-iron-man-2-staring-robert-downey-jr/, celebrity-sunglasses-finder.com/robert-downey-jr-robert-marc-719/",,,,0:08:19
Robert Marc,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:08:23,0:00:04,casino,subtle,no,Robert Downey Jr.,male,43,white,"Robert Marc 719, selectspecs.com/blog/sunglasses-from-marvels-iron-man-2-staring-robert-downey-jr/, celebrity-sunglasses-finder.com/robert-downey-jr-robert-marc-719/",,,,0:08:23
Robert Marc,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,sighting,0:08:29,0:00:07,casino,subtle,no,Robert Downey Jr.,male,43,white,"Robert Marc 719, selectspecs.com/blog/sunglasses-from-marvels-iron-man-2-staring-robert-downey-jr/, celebrity-sunglasses-finder.com/robert-downey-jr-robert-marc-719/",,,,0:08:29
Brown,school,establishement,Tony Stark - Iron Man,mention,0:08:33,0:00:03,casino,-,-,Robert Downey Jr.,male,43,white,,,,,0:08:33
