"rank","name","country","countrycode","time","timeBehind","performance","year","sport","gender","event","allbutfirst005percentfaster_time","allbutfirst005percentfaster_performance","allbutfirst005percentfaster_rank","allbutmedalists005percentfaster_time","allbutmedalists005percentfaster_performance","allbutmedalists005percentfaster_rank","allbutfirst01percentfaster_time","allbutfirst01percentfaster_performance","allbutfirst01percentfaster_rank","allbutmedalists01percentfaster_time","allbutmedalists01percentfaster_performance","allbutmedalists01percentfaster_rank","allbutfirst02percentfaster_time","allbutfirst02percentfaster_performance","allbutfirst02percentfaster_rank","allbutmedalists02percentfaster_time","allbutmedalists02percentfaster_performance","allbutmedalists02percentfaster_rank","allbutfirst05percentfaster_time","allbutfirst05percentfaster_performance","allbutfirst05percentfaster_rank","allbutmedalists05percentfaster_time","allbutmedalists05percentfaster_performance","allbutmedalists05percentfaster_rank","allbutfirst1percentfaster_time","allbutfirst1percentfaster_performance","allbutfirst1percentfaster_rank","allbutmedalists1percentfaster_time","allbutmedalists1percentfaster_performance","allbutmedalists1percentfaster_rank","genderEvent","position"
8,"Roman REPILOV","Olympic Athlete from Russia","OAR",191.108,0.406000000000006,99.7875546811227,2018,"Luge","men","Singles",191.012493753123,99.8374484584633,8,191.012493753123,99.8374484584633,8,190.917082917083,99.8873422358038,8,190.917082917083,99.8873422358038,7,190.726546906188,99.987129790485,8,190.726546906188,99.987129790485,6,190.157213930348,100.286492454528,7,190.157213930348,100.286492454528,5,189.215841584158,100.785430227934,7,189.215841584158,100.785430227934,5,"men Singles",8
1,"Tobias WENDL & Tobias ARLT","Germany","GER",91.697,0,100,2018,"Luge","men","Doubles",91.697,100,1,91.697,100,1,91.697,100,2,91.697,100,1,91.697,100,2,91.697,100,1,91.697,100,3,91.697,100,1,91.697,100,7,91.697,100,5,"men Doubles",1
2,"Peter PENZ & Georg FISCHLER","Austria","AUT",91.785,0.0879999999999939,99.9041237675001,2018,"Luge","men","Doubles",91.7391304347826,99.9540758293839,2,91.785,99.9041237675001,2,91.6933066933067,100.004027891268,1,91.785,99.9041237675001,2,91.6017964071856,100.103932015035,1,91.785,99.9041237675001,2,91.3283582089552,100.403644386338,1,91.785,99.9041237675001,2,90.8762376237624,100.903165005175,1,91.785,99.9041237675001,7,"men Doubles",2
3,"Toni EGGERT & Sascha BENECKEN","Germany","GER",91.987,0.289999999999992,99.6847380608129,2018,"Luge","men","Doubles",91.9410294852574,99.7345804298433,3,91.987,99.6847380608129,3,91.8951048951049,99.7844227988738,3,91.987,99.6847380608129,3,91.8033932135728,99.8841075369346,3,91.987,99.6847380608129,3,91.5293532338308,100.183161751117,2,91.987,99.6847380608129,6,91.0762376237624,100.681585441421,2,91.987,99.6847380608129,8,"men Doubles",3
4,"Thomas STEU & Lorenz KOLLER","Austria","AUT",92.284,0.586999999999989,99.3639200728187,2018,"Luge","men","Doubles",92.2378810594703,99.4136020328551,4,92.2378810594703,99.4136020328551,4,92.1918081918082,99.4632839928915,4,92.1918081918082,99.4632839928915,4,92.0998003992016,99.5626479129643,4,92.0998003992016,99.5626479129643,4,91.8248756218906,99.8607396731828,4,91.8248756218906,99.8607396731828,3,91.370297029703,100.357559273547,3,91.370297029703,100.357559273547,1,"men Doubles",4
5,"Tristan WALKER & Justin SNITH","Canada","CAN",92.369,0.671999999999997,99.272483192413,2018,"Luge","men","Doubles",92.3228385807096,99.3221194340093,5,92.3228385807096,99.3221194340093,5,92.2767232767233,99.3717556756054,5,92.2767232767233,99.3717556756054,5,92.184630738523,99.4710281587979,5,92.184630738523,99.4710281587979,5,91.9094527363184,99.7688456083751,5,91.9094527363184,99.7688456083751,4,91.4544554455446,100.265208024337,4,91.4544554455446,100.265208024337,2,"men Doubles",5
6,"Andris SICS & Juris SICS","Latvia","LAT",92.442,0.745000000000005,99.1940892667835,2018,"Luge","men","Doubles",92.3958020989505,99.2436863114169,6,92.3958020989505,99.2436863114169,6,92.3496503496503,99.2932833560503,6,92.3496503496503,99.2932833560503,6,92.2574850299401,99.3924774453171,6,92.2574850299401,99.3924774453171,6,91.9820895522388,99.6900597131174,6,91.9820895522388,99.6900597131174,5,91.5267326732673,100.186030159451,5,91.5267326732673,100.186030159451,3,"men Doubles",6
7,"Ivan NAGLER & Fabian MALLEIER","Italy","ITA",92.563,0.866,99.0644209889481,2018,"Luge","men","Doubles",92.5167416291854,99.1139531994425,7,92.5167416291854,99.1139531994425,7,92.4705294705295,99.163485409937,7,92.4705294705295,99.163485409937,7,92.3782435129741,99.262549830926,7,92.3782435129741,99.262549830926,7,92.1024875621891,99.5597430938928,7,92.1024875621891,99.5597430938928,7,91.6465346534654,100.055065198838,6,91.6465346534654,100.055065198838,4,"men Doubles",7
8,"Justin KREWSON & Andrew SHERK","United States","USA",92.652,0.954999999999998,98.9692613219358,2018,"Luge","men","Doubles",92.6056971514243,99.0187459525968,8,92.6056971514243,99.0187459525968,8,92.5594405594406,99.0682305832578,8,92.5594405594406,99.0682305832578,8,92.4670658682635,99.1671998445797,8,92.4670658682635,99.1671998445797,8,92.1910447761194,99.4641076285455,8,92.1910447761194,99.4641076285455,8,91.7346534653465,99.9589539351552,8,91.7346534653465,99.9589539351552,6,"men Doubles",8
1,"Natalie GEISENBERGER","Germany","GER",185.232,0,100,2018,"Luge","women","Singles",185.232,100,1,185.232,100,1,185.232,100,1,185.232,100,1,185.232,100,2,185.232,100,1,185.232,100,6,185.232,100,4,185.232,100,8,185.232,100,6,"women Singles",1
