"year","gender","distance","stroke","rank","name","country","countrycode","time","timeBehind","genderDistance"
"2009","women"," 50","free"," 2","Therese ALSHAMMAR","Sweden","SWE","23.88","0.15","women 50"
"2009","women"," 50","free"," 3","Cate CAMPBELL","Australia","AUS","23.99","0.26","women 50"
"2009","women"," 50","free"," 3","Magdalena VELDHUIS","Netherlands","NED","23.99","0.26","women 50"
"2009","women"," 50","free"," 5","Fran HALSALL","Great Britain","GBR","24.11","0.38","women 50"
"2009","women"," 50","free"," 6","Lisbeth TRICKETT","Australia","AUS","24.19","0.46","women 50"
"2009","women"," 50","free"," 7","Amanda WEIR","United States","USA","24.23","0.50","women 50"
"2009","women"," 50","free"," 8","Dara TORRES","United States","USA","24.48","0.75","women 50"
"2009","women","100","back"," 1","Gemma SPOFFORTH","Great Britain","GBR","58.12","0.00","women 100"
"2009","women","100","back"," 2","Anastasia ZUEVA","Russia","RUS","58.18","0.06","women 100"
"2009","women","100","back"," 3","Emily SEEBOHM","Australia","AUS","58.88","0.76","women 100"
"2009","women","100","back"," 4","Shiho SAKAI","Japan","JPN","59.14","1.02","women 100"
"2009","women","100","back"," 5","Jing ZHAO","China","CHN","59.28","1.16","women 100"
"2009","women","100","back"," 6","Hayley MCGREGORY","United States","USA","59.42","1.30","women 100"
"2009","women","100","back"," 7","Elizabeth SIMMONDS","Great Britain","GBR","59.71","1.59","women 100"
"2009","women","100","back"," 8","Kirsty COVENTRY","Zimbabwe","ZIM","59.74","1.62","women 100"
"2009","women","100","breast"," 1","Rebecca SONI","United States","USA","64.93","0.00","women 100"
"2009","women","100","breast"," 2","Yuliya EFIMOVA","Russia","RUS","65.41","0.48","women 100"
"2009","women","100","breast"," 3","Kasey CARLSON","United States","USA","65.75","0.82","women 100"
"2009","women","100","breast"," 4","Sarah KATSOULIS","Australia","AUS","65.86","0.93","women 100"
"2009","women","100","breast"," 5","Annamay PIERSE","Canada","CAN","66.37","1.44","women 100"
"2009","women","100","breast"," 6","Rikke MØLLER PEDERSEN","Denmark","DEN","66.38","1.45","women 100"
"2009","women","100","breast"," 7","Mirna JUKIC","Austria","AUT","66.75","1.82","women 100"
"2009","women","100","breast"," 8","Sarah POEWE","Germany","GER","67.01","2.08","women 100"
"2009","women","100","fly"," 1","Sarah SJÖSTRÖM","Sweden","SWE","56.06","0.00","women 100"
"2009","women","100","fly"," 2","Jessicah SCHIPPER","Australia","AUS","56.23","0.17","women 100"
"2009","women","100","fly"," 3","Liuyang JIAO","China","CHN","56.86","0.80","women 100"
"2009","women","100","fly"," 4","Aurore MONGEL","France","FRA","56.89","0.83","women 100"
"2009","women","100","fly"," 5","Gabriella SILVA","Brazil","BRA","56.94","0.88","women 100"
"2009","women","100","fly"," 5","Dana VOLLMER","United States","USA","56.94","0.88","women 100"
"2009","women","100","fly"," 7","Ingvild SNILDAL","Norway","NOR","56.96","0.90","women 100"
"2009","women","100","fly"," 8","Magdalena VELDHUIS","Netherlands","NED","57.79","1.73","women 100"
"2009","women","100","free"," 1","Britta STEFFEN","Germany","GER","52.07","0.00","women 100"
"2009","women","100","free"," 2","Fran HALSALL","Great Britain","GBR","52.87","0.80","women 100"
"2009","women","100","free"," 3","Lisbeth TRICKETT","Australia","AUS","52.93","0.86","women 100"
"2009","women","100","free"," 4","Amanda WEIR","United States","USA","53.12","1.05","women 100"
"2009","women","100","free"," 5","Dana VOLLMER","United States","USA","53.30","1.23","women 100"
"2009","women","100","free"," 6","Ranomi KROMOWIDJOJO","Netherlands","NED","53.37","1.30","women 100"
"2009","women","100","free"," 7","Jeanette OTTESEN","Denmark","DEN","53.70","1.63","women 100"
"2009","women","100","free"," 8","Evelyn VERRASZTO","Hungary","HUN","53.92","1.85","women 100"
"2011","men"," 50","back"," 1","Liam TANCOCK","Great Britain","GBR","24.50","0.00","men 50"
"2011","men"," 50","back"," 2","Camille LACOURT","France","FRA","24.57","0.07","men 50"
"2011","men"," 50","back"," 3","Gerhard ZANDBERG","South Africa","RSA","24.66","0.16","men 50"
"2011","men"," 50","back"," 4","Aschwin WILDEBOER FABER","Spain","ESP","24.82","0.32","men 50"
"2011","men"," 50","back"," 5","David PLUMMER","United States","USA","24.92","0.42","men 50"
"2011","men"," 50","back"," 6","Nicholas THOMAN","United States","USA","25.01","0.51","men 50"
"2011","men"," 50","back"," 6","Guy BARNEA","Israel","ISR","25.01","0.51","men 50"
"2011","men"," 50","back"," 8","Flori LANG","Switzerland","SUI","25.15","0.65","men 50"
"2011","men"," 50","breast"," 1","Felipe Alves FRANÇA DA SILVA","Brazil","BRA","27.01","0.00","men 50"
"2011","men"," 50","breast"," 2","Fabio SCOZZOLI","Italy","ITA","27.17","0.16","men 50"
"2011","men"," 50","breast"," 3","Cameron VAN DER BURGH","South Africa","RSA","27.19","0.18","men 50"
"2011","men"," 50","breast"," 4","Hendrik FELDWEHR","Germany","GER","27.41","0.40","men 50"
"2011","men"," 50","breast"," 5","Alexander DALE OEN","Norway","NOR","27.43","0.42","men 50"
"2011","men"," 50","breast"," 6","Mark GANGLOFF","United States","USA","27.58","0.57","men 50"
"2011","men"," 50","breast"," 7","Lennart STEKELENBURG","Netherlands","NED","27.65","0.64","men 50"
"2011","men"," 50","breast"," 8","Damir DUGONJIC","Slovenia","SLO","28.00","0.99","men 50"
"2011","men"," 50","fly"," 1","Cesar CIELO FILHO","Brazil","BRA","23.10","0.00","men 50"
"2011","men"," 50","fly"," 2","Matthew TARGETT","Australia","AUS","23.28","0.18","men 50"
"2011","men"," 50","fly"," 3","Geoff HUEGILL","Australia","AUS","23.35","0.25","men 50"
"2011","men"," 50","fly"," 4","Frederick BOUSQUET","France","FRA","23.38","0.28","men 50"
"2011","men"," 50","fly"," 5","Florent MANAUDOU","France","FRA","23.49","0.39","men 50"
"2011","men"," 50","fly"," 6","Steffen DEIBLER","Germany","GER","23.55","0.45","men 50"
"2011","men"," 50","fly"," 7","Jason DUNFORD","Kenya","KEN","23.60","0.50","men 50"
"2011","men"," 50","fly"," 8","Andriy GOVOROV","Ukraine","UKR","23.64","0.54","men 50"
"2011","men"," 50","free"," 1","Cesar CIELO FILHO","Brazil","BRA","21.52","0.00","men 50"
"2011","men"," 50","free"," 2","Luca DOTTO","Italy","ITA","21.90","0.38","men 50"
"2011","men"," 50","free"," 3","Alain BERNARD","France","FRA","21.92","0.40","men 50"
"2011","men"," 50","free"," 4","Nathan ADRIAN","United States","USA","21.93","0.41","men 50"
"2011","men"," 50","free"," 5","Bruno FRATUS","Brazil","BRA","21.96","0.44","men 50"
"2011","men"," 50","free"," 6","Krisztian TAKACS","Hungary","HUN","21.99","0.47","men 50"
"2011","men"," 50","free"," 7","George BOVELL","Trinidad and Tobago","TRI","22.04","0.52","men 50"
"2011","men"," 50","free"," 8","Gideon LOUW","South Africa","RSA","22.11","0.59","men 50"
"2011","men","100","back"," 1","Camille LACOURT","France","FRA","52.76","0.00","men 100"
"2011","men","100","back"," 1","Jeremy STRAVIUS","France","FRA","52.76","0.00","men 100"
"2011","men","100","back"," 3","Ryosuke IRIE","Japan","JPN","52.98","0.22","men 100"
"2011","men","100","back"," 4","Nicholas THOMAN","United States","USA","53.01","0.25","men 100"
"2011","men","100","back"," 5","David PLUMMER","United States","USA","53.04","0.28","men 100"
"2011","men","100","back"," 6","Liam TANCOCK","Great Britain","GBR","53.25","0.49","men 100"
"2011","men","100","back"," 7","Helge MEEUW","Germany","GER","53.28","0.52","men 100"
"2011","men","100","back"," 8","Gareth KEAN","New Zealand","NZL","53.50","0.74","men 100"
"2011","men","100","breast"," 1","Alexander DALE OEN","Norway","NOR","58.71","0.00","men 100"
"2011","men","100","breast"," 2","Fabio SCOZZOLI","Italy","ITA","59.42","0.71","men 100"
"2011","men","100","breast"," 3","Cameron VAN DER BURGH","South Africa","RSA","59.49","0.78","men 100"
"2011","men","100","breast"," 4","Kosuke KITAJIMA","Japan","JPN","60.03","1.32","men 100"
"2011","men","100","breast"," 5","Brenton RICKARD","Australia","AUS","60.11","1.40","men 100"
"2011","men","100","breast"," 6","Daniel GYURTA","Hungary","HUN","60.25","1.54","men 100"
"2011","men","100","breast"," 6","Giedrius TITENIS","Lithuania","LTU","60.25","1.54","men 100"
