newClusters	xs	ys
4	 0.164965321	0.038842692
4	 0.138991775	0.130608493
4	 0.394305605	-0.254050188
4	 0.491134683	-0.010516804
4	 0.367172803	-0.188072402
4	 0.499198233	0.203964902
4	 0.459665834	0.20319568
4	 0.430836508	0.369681811
4	 0.471601318	0.059384436
4	 0.368196221	0.203335447
4	 0.49168015	    0.192759781
4	-0.449064556	0.254582093
4	 0.588458992	0.023091048
4	 0.551648432	-0.088102813
4	 0.314323978	0.026288193
4	 0.299406297	-0.279936909
4	 0.29366127	    -0.12047339
4	 0.394245285	0.08911012
4	 0.436545027	-0.016234442
4	 0.337583475	0.128605772
4	 0.493387102	0.108501186
4	 0.398912783	0.213766511
4	 0.353125428	0.082151169
4	 0.305144709	-0.346053276
4	 0.350674946	-0.099072029
4	 0.263216654	-0.045517351
4	 0.50657914	    0.269823753
4	 0.440808112	0.18896998
4	 0.348480811	0.057106058
4	 0.46862744	    0.29128281
4	 0.339571683	-0.171462634
4	 0.33743827	    0.195525127
4	 0.37728085	    -0.397062537
4	 0.406240149	0.296585987
4	 0.362976967	0.288604183
4	 0.406442004	0.212825324
4	 0.400838804	-0.078202493
4	 0.24499741	    -0.053328933
4	 0.321891564	-0.027230077
4	 0.205463125	-0.284710531
4	 0.156172919	0.013134948
4	 0.218925098	-0.126250621
4	 0.420603263	-0.177082907
4	 0.499656827	-0.055499273
4	 0.168270063	0.48127175
4	 0.569369464	-0.250455247
4	 0.529805985	-0.258603603
4	 0.408948089	-0.336675737
4	 0.145046812	-0.147894986
4	 0.162633555	-0.046778496
4	 0.070856223	0.023163981
4	 0.253819253	0.141947524
4	 0.304024196	-0.201835696
5	 0.343567773	0.24445043
5	 0.468306216	0.13204054
5	 0.469230458	0.175296836
5	 0.116232039	0.065143258
5	 0.30478628	    0.169612
5	 0.354655489	0.196314357
5	 0.347121105	-0.068092275
5	 0.228544193	-0.095293091
5	 0.490901462	-0.029793062
5	 0.417667459	-0.208646598
5	 0.457099461	-0.203279456
5	 0.417648842	-0.138858469
5	 0.423139364	-0.29776292
5	-0.354386916	0.014544227
5 	 0.240731329	0.051091351
5	 0.255171363	-0.01607473
5	 0.269604026	-0.154859995
5	 0.291179198	-0.235588816
5	 0.311899337	-0.36534127
5	 0.333098183	-0.312074728
6	-0.106966685	-0.293210238
6	-0.210728417	-0.332591644
6	-0.164741438	-0.509253518
6	-0.176304732	-0.38970675
6	-0.245447552	-0.466119146
6	-0.211333413	-0.393526023
6	-0.137023421	-0.489533333
6	-0.11164753	    -0.323808331
6	-0.201650543	-0.478213214
6	-0.115615846	-0.455751611
6	 0.066311275	-0.272107733
6	 0.019744683	-0.53428887
6	-0.184232797	-0.360506993
6	-0.04673693	    -0.427470448
6	-0.171963707	-0.283209789
6	-0.197700407	-0.427987203
6	-0.21377991	    -0.453193981
6	-0.151465589	-0.441422235
6	-0.160487706	-0.390126871
6	-0.066453602	-0.340719644
6	 0.229837581	-0.505205472
6	-0.151251684	-0.558578154
6	-0.093184347	-0.476292261
6 	 0.096291417	-0.414036137
6	 0.103115131	-0.323242789
6	 0.179890823	-0.428843087
6	 0.044955223	-0.383919926
6	 0.121720473	-0.472783168
6	 0.133966064	-0.486226639
6	 0.156396598	-0.435141372
6	-0.17398259	    -0.334143073
6	 0.116315654	-0.429424596
6	 0.000514176	-0.301837268
6 	 0.012531086	-0.388507106
6	 0.089116905	-0.326732332
6	-0.195101494	-0.504395442
6	-0.070311634	-0.480718657
6	 0.034471526	-0.306272824
6	 0.193848176	-0.451562541
6	-0.05672408	    -0.581321053
6	-0.003969021	-0.461535216
6	-0.004590885	-0.426264623
6	 0.052393188	-0.589075098
6	-0.090812905	-0.454305281
6	-0.082136195	-0.524453532
6	-0.109413202	-0.40690005
6	-0.027778771	-0.361325899
6	-0.119188331	-0.376152173
6	-0.032877499	-0.310517034
6	-0.037145357	-0.483535129
6	-0.037417912	-0.39798054
6	 0.005505784	-0.476249862
6	-0.050001177	-0.412359447
6	 0.028082826	-0.441449165
6	 0.047704895	-0.535146632
6	 0.061498932	-0.262954888
6	 0.116982673	-0.415018624
6	 0.118749484	-0.335471018
6	-0.209676387	-0.422430394
6	-0.004129761	-0.51548115
6	 0.13574015	    -0.393789263
6	 0.233404458	-0.399719015
6	 0.038990408	-0.424278091
6	-0.06421699	    -0.505445786
6	-0.000352357	-0.374799316
6	 0.137370566	-0.380527503
6	-0.115144699	-0.268719224
6	-0.250673501	-0.550164416
7	 0.265714545	0.176804726
7	 0.416090292	0.243871671
7	 0.240491208	-0.274261192
7	 0.206551303	-0.17873635
7	 0.185508464	-0.232604599
7	 0.230508406	-0.296562814
7	 0.285766821	-0.18145388
7	 0.183992579	-0.356800245
7	 0.178265291	-0.33629764
7	 0.174513614	-0.258849704
7	 0.22135445	    -0.367910367
